1,A0A,1011,10
2,A0B,1011,10
3,A0C,1011,10
4,A0E,1011,10
5,A0G,1012,10
6,A0H,1012,10
7,A0J,1012,10
8,A0K,1012,10
9,A0K,1013,10
10,A0K,1014,10
11,A0L,1013,10
12,A0M,1013,10
13,A0N,1013,10
14,A0P,1014,10
15,A0R,1014,10
16,A1A,1011,10
17,A1B,1011,10
18,A1C,1011,10
19,A1E,1011,10
20,A1G,1011,10
21,A1H,1011,10
22,A1K,1011,10
23,A1L,1011,10
24,A1M,1011,10
25,A1N,1011,10
26,A1S,1011,10
27,A1V,1012,10
28,A1W,1011,10
29,A1X,1011,10
30,A1Y,1011,10
31,A2A,1012,10
32,A2B,1012,10
33,A2H,1013,10
34,A2N,1013,10
35,A2V,1014,10
36,A5A,1011,10
37,A8A,1013,12
38,B0C,1203,12
39,B0E,1203,12
40,B0H,1203,12
41,B0J,1201,12
42,B0J,1203,12
43,B0J,1204,12
44,B0K,1202,12
45,B0K,1203,12
46,B0L,1202,12
47,B0M,1202,12
48,B0N,1201,12
49,B0N,1202,12
50,B0N,1204,12
51,B0P,1201,12
52,B0P,1204,12
53,B0R,1201,12
54,B0S,1201,12
55,B0T,1201,12
56,B0V,1201,12
57,B0W,1201,12
58,B1A,1203,12
59,B1B,1203,12
60,B1C,1203,12
61,B1E,1203,12
62,B1G,1203,12
63,B1H,1203,12
64,B1J,1203,12
65,B1K,1203,12
66,B1L,1203,12
67,B1M,1203,12
68,B1N,1203,12
69,B1P,1203,12
70,B1R,1203,12
71,B1S,1203,12
72,B1T,1203,12
73,B1V,1203,12
74,B1W,1203,12
75,B1X,1203,12
76,B1Y,1203,12
77,B2A,1203,12
78,B2C,1203,12
79,B2E,1203,12
80,B2G,1203,12
81,B2H,1202,12
82,B2J,1203,12
83,B2N,1202,12
84,B2R,1204,12
85,B2S,1202,12
86,B2S,1204,12
87,B2T,1202,12
88,B2T,1204,12
89,B2V,1204,12
90,B2W,1204,12
91,B2X,1204,12
92,B2Y,1204,12
93,B2Z,1204,12
94,B3A,1204,12
95,B3B,1204,12
96,B3E,1204,12
97,B3G,1204,12
98,B3H,1204,12
99,B3J,1204,12
100,B3K,1204,12
101,B3L,1204,12
102,B3M,1204,12
103,B3N,1204,12
104,B3P,1204,12
105,B3R,1204,12
106,B3S,1204,12
107,B3T,1204,12
108,B3V,1204,12
109,B3Z,1204,12
110,B4A,1204,12
111,B4B,1204,12
112,B4C,1204,12
113,B4E,1204,12
114,B4G,1204,12
115,B4H,1202,12
116,B4N,1201,12
117,B4P,1201,12
118,B4R,1201,12
119,B4V,1201,12
120,B5A,1201,12
121,B6L,1202,12
122,B9A,1203,11
123,C0A,1100,11
124,C0B,1100,11
125,C1A,1100,11
126,C1B,1100,11
127,C1C,1100,11
128,C1E,1100,11
129,C1N,1100,13
130,E1A,1301,13
131,E1B,1301,13
132,E1C,1301,13
133,E1E,1301,13
134,E1G,1301,13
135,E1H,1301,13
136,E1J,1301,13
137,E1N,1301,13
138,E1N,1307,13
139,E1V,1302,13
140,E1V,1307,13
141,E1W,1306,13
142,E1X,1306,13
143,E1X,1307,13
144,E2A,1306,13
145,E2E,1302,13
146,E2G,1302,13
147,E2H,1302,13
148,E2J,1302,13
149,E2K,1302,13
150,E2L,1302,13
151,E2M,1302,13
152,E2N,1302,13
153,E2P,1302,13
154,E2R,1302,13
155,E2S,1302,13
156,E2V,1303,13
157,E3A,1303,13
